# Average strain over simulation: 0.021652
# Frame	Strain
0	0
1	1.03081e-12
2	1.8105e-11
3	1.01135e-10
4	3.52038e-10
5	9.07535e-10
6	1.94426e-09
7	3.44178e-09
8	5.33912e-09
9	8.80482e-09
10	1.37142e-08
11	2.0412e-08
12	2.92763e-08
13	4.00073e-08
14	5.42891e-08
15	7.20373e-08
16	9.24345e-08
17	1.16818e-07
18	1.47505e-07
19	1.81601e-07
20	2.2119e-07
21	2.66809e-07
22	3.22302e-07
23	3.85865e-07
24	4.58206e-07
25	5.4006e-07
26	5.95087e-07
27	6.82337e-07
28	7.9133e-07
29	9.19692e-07
30	1.04692e-06
31	1.19534e-06
32	1.34849e-06
33	1.5273e-06
34	1.72204e-06
35	1.92205e-06
36	2.11214e-06
37	2.35793e-06
38	2.62392e-06
39	2.89457e-06
40	3.20269e-06
41	3.53397e-06
42	3.86906e-06
43	4.24836e-06
44	4.63068e-06
45	5.06203e-06
46	5.52173e-06
47	6.01088e-06
48	6.50091e-06
49	7.05054e-06
50	7.63292e-06
51	8.21406e-06
52	8.86342e-06
53	9.54894e-06
54	1.02718e-05
55	1.10331e-05
56	1.18342e-05
57	1.26761e-05
58	1.36105e-05
59	1.45402e-05
60	1.55146e-05
61	1.65348e-05
62	1.7602e-05
63	1.87175e-05
64	1.98826e-05
65	2.10984e-05
66	2.23663e-05
67	2.36874e-05
68	2.50632e-05
69	2.64947e-05
70	2.79834e-05
71	2.95304e-05
72	3.11371e-05
73	3.28047e-05
74	3.44368e-05
75	3.62266e-05
76	3.79764e-05
77	4.00017e-05
78	4.19895e-05
79	4.4046e-05
80	4.60524e-05
81	4.8246e-05
82	5.0512e-05
83	5.27199e-05
84	5.51305e-05
85	5.76173e-05
86	6.03197e-05
87	6.29743e-05
88	6.55486e-05
89	6.83535e-05
90	7.12413e-05
91	7.42131e-05
92	7.72702e-05
93	8.04141e-05
94	8.36459e-05
95	8.6967e-05
96	9.01867e-05
97	9.3685e-05
98	9.74787e-05
99	0.00010117
100	0.000104744
101	0.000108622
102	0.000112598
103	0.000116904
104	0.000121086
105	0.00012513
106	0.000129759
107	0.000134251
108	0.00013885
109	0.000143556
110	0.00014837
111	0.000153293
112	0.000158328
113	0.000163475
114	0.000168735
115	0.000174412
116	0.000179601
117	0.000185524
118	0.000190935
119	0.000196781
120	0.000202748
121	0.000209179
122	0.000215397
123	0.000221741
124	0.00022821
125	0.000234806
126	0.000241529
127	0.000248383
128	0.000255366
129	0.000262481
130	0.000270136
131	0.000277525
132	0.00028505
133	0.000292711
134	0.000300509
135	0.000308446
136	0.000316522
137	0.00032428
138	0.000332631
139	0.000341126
140	0.000350249
141	0.000359041
142	0.000367979
143	0.000377574
144	0.000386817
145	0.00039621
146	0.000405753
147	0.000415448
148	0.000425297
149	0.000435859
150	0.000445456
151	0.000456347
152	0.000466827
153	0.000477464
154	0.000488261
155	0.000499218
156	0.000510336
157	0.000521617
158	0.000533061
159	0.00054402
160	0.000555784
161	0.000567048
162	0.000579136
163	0.000590707
164	0.000603123
165	0.000615709
166	0.000628466
167	0.000641395
168	0.000653764
169	0.000667029
170	0.000678217
171	0.000691044
172	0.000704028
173	0.000717947
174	0.000731257
175	0.000745524
176	0.00075997
177	0.000774597
178	0.000789405
179	0.000805233
180	0.000820417
181	0.000835785
182	0.000850468
183	0.000863562
184	0.000879445
185	0.000894617
186	0.000909051
187	0.000925466
188	0.000942071
189	0.000957928
190	0.000975852
191	0.00099303
192	0.0010104
193	0.00102796
194	0.00104572
195	0.00106468
196	0.00108284
197	0.00110119
198	0.00111974
199	0.00113849
200	0.0011585
201	0.00117659
202	0.00119378
203	0.00121222
204	0.00122863
205	0.00124408
206	0.001263
207	0.00128324
208	0.00130367
209	0.00132431
210	0.001344
211	0.00136504
212	0.0013851
213	0.00140534
214	0.00142577
215	0.00144761
216	0.00146842
217	0.00149066
218	0.00151186
219	0.00153451
220	0.00155863
221	0.00158172
222	0.00160502
223	0.00162984
224	0.00165225
225	0.00167618
226	0.00169898
227	0.00172197
228	0.00174653
229	0.00176992
230	0.00179489
231	0.00181868
232	0.00184407
233	0.00186969
234	0.0018912
235	0.00191431
236	0.00194024
237	0.00196695
238	0.00199212
239	0.00201897
240	0.00204605
241	0.00207335
242	0.00210087
243	0.00213017
244	0.00215814
245	0.00218635
246	0.00221477
247	0.00224182
248	0.00226908
249	0.00229653
250	0.00232418
251	0.00235368
252	0.00238341
253	0.00241336
254	0.00244522
255	0.00247564
256	0.00250628
257	0.00253716
258	0.00256652
259	0.00259784
260	0.00262939
261	0.00266293
262	0.00269495
263	0.00272719
264	0.00275967
265	0.0027942
266	0.00282715
267	0.00286033
268	0.00289374
269	0.00292738
270	0.00296314
271	0.00299726
272	0.00303161
273	0.0030662
274	0.00310296
275	0.00313802
276	0.00317331
277	0.00320884
278	0.00324461
279	0.0032806
280	0.00331683
281	0.0033533
282	0.00339
283	0.00342693
284	0.0034641
285	0.00350359
286	0.00354124
287	0.00357913
288	0.00361725
289	0.00365561
290	0.0036942
291	0.00373303
292	0.0037721
293	0.00380921
294	0.00385094
295	0.00389072
296	0.00393073
297	0.00397322
298	0.00401372
299	0.00405446
300	0.00409315
301	0.00413664
302	0.00417809
303	0.00421978
304	0.0042617
305	0.00430386
