# Average strain over simulation: 0.0282424
# Frame	Strain
0	0
1	1.33317e-12
2	2.60567e-11
3	9.31093e-11
4	2.93501e-10
5	7.49259e-10
6	1.66194e-09
7	3.00679e-09
8	4.73312e-09
9	7.92137e-09
10	1.27815e-08
11	1.91558e-08
12	2.76314e-08
13	3.86136e-08
14	5.25399e-08
15	6.88176e-08
16	8.98368e-08
17	1.15265e-07
18	1.4383e-07
19	1.79448e-07
20	2.187e-07
21	2.66809e-07
22	3.20078e-07
23	3.8211e-07
24	4.53944e-07
25	5.3525e-07
26	6.26782e-07
27	7.29317e-07
28	8.43656e-07
29	9.55864e-07
30	1.08668e-06
31	1.23031e-06
32	1.39703e-06
33	1.57969e-06
34	1.77921e-06
35	1.99652e-06
36	2.23257e-06
37	2.48834e-06
38	2.76479e-06
39	3.0458e-06
40	3.38381e-06
41	3.72841e-06
42	4.09779e-06
43	4.47036e-06
44	4.86688e-06
45	5.28826e-06
46	5.74935e-06
47	6.23803e-06
48	6.74122e-06
49	7.30526e-06
50	7.86849e-06
51	8.46237e-06
52	9.12565e-06
53	9.78568e-06
54	1.05212e-05
55	1.12957e-05
56	1.21102e-05
57	1.2966e-05
58	1.38643e-05
59	1.48064e-05
60	1.58495e-05
61	1.68265e-05
62	1.78457e-05
63	1.89721e-05
64	2.01483e-05
65	2.13756e-05
66	2.26552e-05
67	2.39884e-05
68	2.53764e-05
69	2.67388e-05
70	2.82371e-05
71	2.97059e-05
72	3.11371e-05
73	3.27104e-05
74	3.39509e-05
75	3.53237e-05
76	3.71457e-05
77	3.91398e-05
78	4.10976e-05
79	4.31235e-05
80	4.52186e-05
81	4.73844e-05
82	4.96221e-05
83	5.1933e-05
84	5.43185e-05
85	5.67798e-05
86	5.93183e-05
87	6.20829e-05
88	6.47839e-05
89	6.75661e-05
90	7.04307e-05
91	7.35453e-05
92	7.64124e-05
93	7.97079e-05
94	8.29201e-05
95	8.62212e-05
96	8.96126e-05
97	9.30955e-05
98	9.66713e-05
99	0.000100341
100	0.000103895
101	0.000107752
102	0.000111706
103	0.00011576
104	0.000119914
105	0.00012417
106	0.00012853
107	0.000132993
108	0.000137305
109	0.000141975
110	0.000146485
111	0.000151365
112	0.000156357
113	0.000161747
114	0.000166969
115	0.000172306
116	0.000177758
117	0.000183014
118	0.000188694
119	0.000194494
120	0.000200413
121	0.000206454
122	0.000212618
123	0.000218906
124	0.000225319
125	0.000232225
126	0.000238899
127	0.000245702
128	0.000252635
129	0.000260095
130	0.000267299
131	0.000274636
132	0.000282527
133	0.000290142
134	0.000297894
135	0.000305785
136	0.000313815
137	0.000322443
138	0.000330763
139	0.000339226
140	0.000347832
141	0.000356584
142	0.00036598
143	0.000375033
144	0.000384235
145	0.000393585
146	0.000403619
147	0.000413281
148	0.000423095
149	0.000433621
150	0.000443186
151	0.000453464
152	0.0004639
153	0.000474493
154	0.000485246
155	0.000496158
156	0.000506612
157	0.000517839
158	0.000529228
159	0.000540135
160	0.00055119
161	0.000562392
162	0.000575088
163	0.000587288
164	0.000599657
165	0.000612196
166	0.000625616
167	0.000638507
168	0.00065157
169	0.000665547
170	0.000678967
171	0.000692563
172	0.000707106
173	0.000721065
174	0.000735993
175	0.000750319
176	0.000764826
177	0.000779513
178	0.000795213
179	0.000810274
180	0.000825519
181	0.000841811
182	0.000857435
183	0.000872363
184	0.000888418
185	0.000905428
186	0.000921802
187	0.000938364
188	0.000955117
189	0.000973008
190	0.000990153
191	0.00100749
192	0.00102502
193	0.00104374
194	0.00106167
195	0.0010798
196	0.00109914
197	0.00111767
198	0.0011364
199	0.00115533
200	0.00117445
201	0.00119378
202	0.00121222
203	0.00123193
204	0.00125074
205	0.00127085
206	0.00129116
207	0.00131168
208	0.0013324
209	0.00135332
210	0.00137328
211	0.0013946
212	0.00141493
213	0.00143666
214	0.0014586
215	0.00148199
216	0.00150435
217	0.00152693
218	0.00154977
219	0.00157401
220	0.00159593
221	0.00161936
222	0.00163641
223	0.00165755
224	0.00168287
225	0.00169763
226	0.00171519
227	0.00173695
228	0.00176164
229	0.00178376
230	0.00180746
231	0.00182994
232	0.00185543
233	0.00187971
234	0.00190501
235	0.00192885
236	0.00195518
237	0.00198173
238	0.00200701
239	0.00203399
240	0.00206119
241	0.00208403
242	0.00211164
243	0.00213636
244	0.00216404
245	0.00218949
246	0.00221636
247	0.00224342
248	0.0022723
249	0.0023014
250	0.00233072
251	0.00236027
252	0.00238838
253	0.00241837
254	0.00244859
255	0.00247903
256	0.0025097
257	0.0025406
258	0.00257173
259	0.00260308
260	0.00263466
261	0.00266648
262	0.00269852
263	0.00272899
264	0.00275967
265	0.00279055
266	0.00281797
267	0.00284187
268	0.00285848
269	0.00288629
270	0.00291614
271	0.00294053
272	0.00296314
273	0.00299536
274	0.0030297
275	0.00306427
276	0.00309713
277	0.00312436
278	0.00315956
279	0.00319302
280	0.00322272
281	0.00325458
282	0.00328462
283	0.00331885
284	0.00335533
285	0.00339204
286	0.00342899
287	0.00345996
288	0.00349733
289	0.00353076
290	0.00356015
291	0.00358969
292	0.00361725
293	0.00363427
294	0.00366416
295	0.0036942
296	0.00372654
297	0.00375905
298	0.00377645
299	0.00380702
300	0.00383334
301	0.00386417
302	0.00388186
303	0.00389959
304	0.00392627
305	0.00395754
306	0.00399344
307	0.00402954
308	0.00405446
309	0.00408403
310	0.0041183
311	0.00415273
312	0.00418502
313	0.00421281
314	0.00424537
315	0.00428509
316	0.00432032
317	0.00435808
318	0.00438889
319	0.0044246
320	0.00446528
321	0.00450134
322	0.00453999
323	0.0045691
324	0.0046032
325	0.00463499
326	0.00467674
327	0.00471624
328	0.00475095
329	0.00478332
330	0.00482582
331	0.00486099
332	0.00490135
333	0.00493683
334	0.0049699
335	0.00501333
