# Average strain over simulation: 5.14824e-06
# Frame	Strain
0	0
1	1.25232e-06
2	2.42599e-06
3	3.70051e-06
4	5.08506e-06
5	6.31848e-06
6	7.11933e-06
7	8.12686e-06
8	9.08621e-06
9	1.00209e-05
10	1.0776e-05
11	1.1318e-05
12	1.19517e-05
13	1.24969e-05
14	1.30332e-05
15	1.34297e-05
16	1.39123e-05
17	1.43425e-05
18	1.46933e-05
19	1.50452e-05
20	1.52939e-05
21	1.56419e-05
22	1.5935e-05
23	1.61975e-05
24	1.63935e-05
25	1.65873e-05
26	1.67613e-05
27	1.68855e-05
28	1.69951e-05
29	1.70729e-05
30	1.71337e-05
31	1.71962e-05
32	1.72183e-05
33	1.72324e-05
34	1.72317e-05
35	1.72272e-05
36	1.71978e-05
37	1.71527e-05
38	1.71115e-05
39	1.70262e-05
40	1.69597e-05
41	1.6855e-05
42	1.67934e-05
43	1.66955e-05
44	1.66672e-05
45	1.69054e-05
46	1.70693e-05
47	1.7162e-05
48	1.72457e-05
49	1.72882e-05
50	1.72926e-05
51	1.72751e-05
52	1.72349e-05
53	1.71626e-05
54	1.70612e-05
55	1.69389e-05
56	1.68181e-05
57	1.66631e-05
58	1.64885e-05
59	1.6291e-05
60	1.61056e-05
61	1.59059e-05
62	1.56782e-05
63	1.54412e-05
64	1.51961e-05
65	1.50166e-05
66	1.47549e-05
67	1.44822e-05
68	1.42102e-05
69	1.39566e-05
70	1.37284e-05
71	1.34536e-05
72	1.31769e-05
73	1.28991e-05
74	1.26831e-05
75	1.24156e-05
76	1.21482e-05
77	1.18755e-05
78	1.16093e-05
79	1.13834e-05
80	1.11024e-05
81	1.0823e-05
82	1.05622e-05
83	1.03198e-05
84	1.00519e-05
85	9.78119e-06
86	9.52386e-06
87	9.2481e-06
88	9.05912e-06
89	8.79937e-06
90	8.56329e-06
91	8.34013e-06
92	8.16953e-06
93	7.95116e-06
94	7.70639e-06
95	7.46049e-06
96	7.22787e-06
97	7.02206e-06
98	6.78263e-06
99	6.5653e-06
100	6.35153e-06
101	6.14568e-06
102	5.94755e-06
103	5.73174e-06
104	5.52413e-06
105	5.32446e-06
106	5.16029e-06
107	4.97141e-06
108	4.7823e-06
109	4.58943e-06
110	4.40058e-06
111	4.24446e-06
112	4.07351e-06
113	3.90261e-06
114	3.74546e-06
115	3.61138e-06
116	3.45687e-06
117	3.29606e-06
118	3.13578e-06
119	2.99747e-06
120	2.89788e-06
121	2.75284e-06
122	2.61116e-06
123	2.4728e-06
124	2.35408e-06
125	2.2245e-06
126	2.09279e-06
127	1.96943e-06
128	1.84658e-06
129	1.77045e-06
130	1.66924e-06
131	1.56324e-06
132	1.47112e-06
133	1.37203e-06
134	1.27309e-06
135	1.16173e-06
136	1.05968e-06
137	9.62362e-07
138	8.83245e-07
139	8.02077e-07
140	7.64363e-07
141	7.83718e-07
142	7.99074e-07
143	8.14818e-07
144	8.30901e-07
145	8.466e-07
146	8.61793e-07
147	8.74098e-07
148	8.87371e-07
149	8.99594e-07
150	9.11767e-07
151	9.218e-07
152	9.30595e-07
153	9.40621e-07
154	9.49904e-07
155	9.5847e-07
156	9.64363e-07
157	9.71461e-07
158	9.77442e-07
159	9.83295e-07
160	9.88396e-07
161	9.92035e-07
162	9.96662e-07
163	1.0006e-06
164	1.00415e-06
165	1.00662e-06
166	1.00938e-06
167	1.01151e-06
168	1.01341e-06
169	1.01484e-06
170	1.01561e-06
171	1.01639e-06
172	1.04538e-06
173	1.07878e-06
174	1.10513e-06
175	1.13238e-06
176	1.16093e-06
177	1.18715e-06
178	1.21497e-06
179	1.23536e-06
180	1.25847e-06
181	1.2815e-06
182	1.3048e-06
183	1.32523e-06
184	1.34104e-06
185	1.3605e-06
186	1.37821e-06
187	1.39433e-06
188	1.40864e-06
189	1.42508e-06
190	1.43936e-06
191	1.4531e-06
192	1.46575e-06
193	1.47516e-06
194	1.4869e-06
195	1.49827e-06
196	1.50819e-06
197	1.51609e-06
198	1.52434e-06
199	1.53259e-06
200	1.53968e-06
201	1.54628e-06
202	1.55176e-06
203	1.55737e-06
204	1.56234e-06
205	1.56651e-06
206	1.56962e-06
207	1.57184e-06
208	1.5744e-06
209	1.57662e-06
210	1.57843e-06
211	1.57961e-06
212	1.58047e-06
213	1.58091e-06
214	1.581e-06
215	1.58074e-06
216	1.58008e-06
217	1.57892e-06
218	1.57741e-06
219	1.57542e-06
220	1.5736e-06
221	1.57085e-06
222	1.56784e-06
223	1.56441e-06
224	1.56134e-06
225	1.5577e-06
226	1.55353e-06
227	1.54906e-06
228	1.54421e-06
229	1.54005e-06
230	1.53436e-06
231	1.52873e-06
232	1.52272e-06
233	1.51672e-06
234	1.51181e-06
235	1.50501e-06
236	1.49811e-06
237	1.49086e-06
238	1.48355e-06
239	1.4777e-06
240	1.4702e-06
241	1.463e-06
242	1.45501e-06
243	1.44784e-06
244	1.44022e-06
245	1.4323e-06
246	1.42391e-06
247	1.41609e-06
248	1.41065e-06
249	1.40266e-06
250	1.39385e-06
251	1.38475e-06
252	1.37536e-06
253	1.36755e-06
254	1.35873e-06
255	1.34965e-06
256	1.34049e-06
257	1.333e-06
258	1.32391e-06
259	1.31418e-06
260	1.30478e-06
261	1.29493e-06
262	1.28722e-06
263	1.27728e-06
264	1.2675e-06
265	1.25749e-06
266	1.24885e-06
267	1.23918e-06
268	1.22907e-06
269	1.21875e-06
270	1.2084e-06
271	1.19987e-06
272	1.1897e-06
273	1.17973e-06
274	1.16955e-06
275	1.1608e-06
276	1.15285e-06
277	1.14329e-06
278	1.13393e-06
279	1.12377e-06
280	1.11483e-06
281	1.10652e-06
282	1.0968e-06
283	1.08891e-06
284	1.07963e-06
285	1.07197e-06
286	1.06514e-06
287	1.05691e-06
288	1.0491e-06
289	1.04011e-06
290	1.03334e-06
291	1.02479e-06
292	1.01528e-06
293	1.0062e-06
294	9.9833e-07
295	9.92639e-07
296	9.83445e-07
297	9.74288e-07
298	9.65362e-07
299	9.57824e-07
300	9.50314e-07
301	9.41684e-07
302	9.32331e-07
303	9.23973e-07
304	9.1622e-07
305	9.07749e-07
306	8.99084e-07
307	8.91308e-07
308	8.82595e-07
309	8.7577e-07
310	8.67511e-07
