# Average strain over simulation: 0.0118104
# Frame	Strain
0	0
1	1.32417e-10
2	1.9526e-09
3	9.92679e-09
4	3.71666e-08
5	8.69187e-08
6	2.15722e-07
7	3.16211e-07
8	5.67041e-07
9	9.99139e-07
10	1.81509e-06
11	3.01149e-06
12	4.66417e-06
13	6.59964e-06
14	8.4454e-06
15	1.12753e-05
16	1.62353e-05
17	2.1249e-05
18	2.81427e-05
19	3.57103e-05
20	4.52545e-05
21	5.43569e-05
22	6.55807e-05
23	7.93805e-05
24	9.48394e-05
25	0.00011202
26	0.000130968
27	0.00015173
28	0.000175812
29	0.000188341
30	0.000205234
31	0.000227489
32	0.000255105
33	0.000281176
34	0.00031042
35	0.000338583
36	0.000370992
37	0.000405128
38	0.000461131
39	0.000524721
40	0.000600578
41	0.000677675
42	0.000755093
43	0.000841503
44	0.00093261
45	0.0010337
46	0.00112859
47	0.00122205
48	0.0013248
49	0.00143739
50	0.00154787
51	0.00166198
52	0.00179295
53	0.0019075
54	0.00203909
55	0.0021814
56	0.00231291
57	0.00244762
58	0.00259363
59	0.00273281
60	0.00287586
61	0.00303485
62	0.00318632
63	0.003354
64	0.00351666
65	0.0036632
66	0.00382981
67	0.00398976
68	0.00415166
69	0.00432457
70	0.00449021
71	0.0046669
72	0.00483595
73	0.00501606
74	0.00519792
75	0.00538107
76	0.00555606
77	0.00570285
78	0.0058817
79	0.00603852
80	0.00623961
81	0.00641917
82	0.00659959
83	0.00679287
84	0.00697508
85	0.00716923
86	0.00736418
87	0.00756292
88	0.00777186
89	0.00798208
90	0.00818184
91	0.00839384
92	0.00859555
93	0.00881899
94	0.00903204
95	0.00925794
96	0.00947292
97	0.00970091
98	0.00991744
99	0.0101469
100	0.0103775
101	0.0105964
102	0.0108282
103	0.0110608
104	0.0112939
105	0.0115155
106	0.0117501
107	0.0119726
108	0.0121954
109	0.012419
110	0.0126179
111	0.0128421
112	0.0130792
113	0.0133166
114	0.0135543
115	0.0137923
116	0.0140308
117	0.0142693
118	0.0144828
119	0.0147218
120	0.0149356
121	0.0151495
122	0.0153761
123	0.0156027
124	0.0158419
125	0.0160685
126	0.0162951
127	0.0165341
128	0.0167729
129	0.0170114
130	0.0172374
131	0.0174506
132	0.0176758
133	0.0178883
134	0.0181128
135	0.0183488
136	0.0185731
137	0.018796
138	0.019018
139	0.0192395
140	0.0194724
141	0.0196799
142	0.0198866
143	0.0201044
144	0.0203329
145	0.0205482
146	0.020762
147	0.0209861
148	0.0212083
149	0.0214285
150	0.0216466
151	0.0218058
152	0.0219411
153	0.0220742
154	0.0222074
155	0.0223298
156	0.0224716
157	0.0226012
158	0.0227295
159	0.0228774
160	0.0230749
161	0.0232553
162	0.0234238
163	0.0235622
164	0.0236969
165	0.0238324
166	0.0239516
167	0.0240514
168	0.0241419
169	0.0242183
170	0.0242754
171	0.0243247
172	0.0243631
173	0.0243912
174	0.0244103
175	0.0244191
176	0.0244182
177	0.024409
178	0.0243921
179	0.0243665
180	0.0243305
181	0.0242927
182	0.0242491
183	0.0241966
184	0.0241416
185	0.0240785
186	0.0240104
187	0.0239417
188	0.0238651
189	0.0237847
190	0.0237007
191	0.0236135
192	0.0235233
193	0.0234303
194	0.0233401
195	0.0232426
196	0.0231484
197	0.0230482
198	0.0229498
199	0.022851
200	0.0227512
201	0.0226502
202	0.0225484
203	0.0224354
204	0.022331
205	0.0222329
206	0.022146
207	0.0220356
208	0.0219306
209	0.0218196
