# Average strain over simulation: 0.027226
# Frame	Strain
0	9.29299e-10
1	0.000690726
2	0.00240863
3	0.00530871
4	0.0089781
5	0.0132792
6	0.0184208
7	0.0233951
8	0.0278667
9	0.0319487
10	0.0357391
11	0.0390415
12	0.0415511
13	0.043268
14	0.0442657
15	0.0446108
16	0.0444592
17	0.0440305
18	0.0433511
19	0.0425897
20	0.0417224
21	0.0407209
22	0.0394921
23	0.0383863
24	0.0372846
25	0.0362781
26	0.0353308
27	0.0344822
28	0.0337699
29	0.0331481
30	0.0326578
31	0.032211
32	0.0317716
33	0.0313657
34	0.031017
35	0.030683
36	0.0303743
37	0.0300823
38	0.0298163
39	0.0295578
40	0.0293294
41	0.0290976
42	0.0288805
43	0.0286875
44	0.0285009
45	0.0283154
46	0.028141
47	0.027984
48	0.0278228
49	0.0276658
50	0.0275313
51	0.0274015
52	0.0272784
53	0.0271613
54	0.027058
55	0.026965
56	0.0269066
57	0.0268436
58	0.0267774
59	0.0267144
60	0.0266722
61	0.026637
62	0.0265938
63	0.0265566
64	0.026534
65	0.0265125
66	0.0264905
67	0.0264664
68	0.0264525
69	0.0264428
70	0.026433
71	0.0264203
72	0.0264086
73	0.0263961
74	0.0263803
75	0.0263619
76	0.0263447
77	0.0263273
78	0.0263098
79	0.0262927
80	0.0262705
81	0.0262485
82	0.0262296
83	0.0262124
84	0.0261957
85	0.0261816
86	0.0261698
87	0.0261594
88	0.0261533
89	0.0261468
90	0.0261419
91	0.026137
92	0.0261322
93	0.0261274
94	0.0261229
95	0.0261183
96	0.0261141
97	0.0261102
98	0.0261065
99	0.0261023
100	0.0261015
101	0.0261021
102	0.0261042
103	0.0261067
104	0.0261093
105	0.0261123
106	0.0261158
107	0.0261195
108	0.0261236
109	0.0261277
110	0.026132
111	0.0261363
112	0.0261409
113	0.0261455
114	0.0261503
115	0.0261552
116	0.0261604
117	0.0261655
118	0.0261706
119	0.0261758
120	0.0261811
121	0.0261865
122	0.0261918
123	0.0261972
124	0.0262028
125	0.0262083
126	0.0262148
127	0.0262214
128	0.0262276
129	0.026234
130	0.0262398
131	0.0262463
132	0.026253
133	0.0262596
134	0.0262661
135	0.0262725
136	0.0262788
137	0.0262855
138	0.0262921
139	0.0262984
140	0.0263046
141	0.0263108
142	0.0263174
143	0.0263241
144	0.0263307
145	0.0263373
146	0.026344
147	0.0263505
148	0.0263558
149	0.0263612
150	0.0263673
151	0.0263734
152	0.0263795
153	0.0263847
154	0.0263898
155	0.0263953
156	0.026401
157	0.0264065
158	0.0264114
159	0.0264168
160	0.0264226
161	0.0264285
162	0.0264345
163	0.0264402
164	0.0264459
165	0.0264517
166	0.0264571
167	0.0264627
168	0.0264685
169	0.0264746
170	0.0264807
171	0.0264866
172	0.0264924
173	0.0264982
174	0.026504
175	0.0265098
176	0.0265154
177	0.0265212
178	0.0265264
179	0.0265318
180	0.0265373
181	0.0265424
182	0.026548
183	0.0265534
184	0.0265586
185	0.0265639
186	0.0265692
187	0.0265743
188	0.0265795
189	0.0265847
190	0.02659
191	0.0265955
192	0.0266007
193	0.0266057
194	0.0266107
195	0.0266158
196	0.0266207
197	0.0266257
198	0.0266306
199	0.0266355
200	0.0266404
201	0.0266452
202	0.0266502
203	0.026655
204	0.02666
205	0.0266647
206	0.0266696
207	0.0266744
208	0.0266792
209	0.0266837
210	0.0266884
211	0.026693
212	0.0266977
213	0.0267023
214	0.0267068
215	0.0267115
216	0.0267161
217	0.0267208
218	0.0267253
219	0.02673
220	0.0267344
221	0.0267387
222	0.0267431
223	0.0267476
224	0.026752
225	0.0267565
226	0.0267609
227	0.0267654
228	0.0267697
229	0.0267741
230	0.0267784
231	0.026783
232	0.0267873
233	0.0267915
234	0.0267959
235	0.0268001
236	0.0268043
237	0.0268085
238	0.0268127
239	0.0268168
240	0.026821
241	0.0268251
242	0.0268292
243	0.0268333
244	0.0268373
245	0.0268414
246	0.0268454
247	0.0268493
248	0.0268532
249	0.0268572
250	0.0268612
251	0.0268652
252	0.0268692
253	0.0268731
254	0.0268771
255	0.0268808
256	0.0268847
257	0.0268886
258	0.0268925
259	0.0268963
260	0.0269001
261	0.0269039
262	0.0269077
263	0.0269115
264	0.0269152
265	0.0269189
266	0.0269226
267	0.0269262
268	0.0269299
269	0.0269337
270	0.0269377
271	0.0269416
272	0.0269452
273	0.026949
274	0.0269527
275	0.0269566
276	0.0269601
277	0.0269636
278	0.0269674
279	0.0269707
280	0.0269742
281	0.0269777
282	0.0269812
283	0.0269846
284	0.026988
285	0.0269914
286	0.0269948
287	0.0269982
288	0.0270016
289	0.0270051
290	0.0270087
291	0.0270121
292	0.0270155
293	0.027019
294	0.0270224
295	0.0270258
296	0.0270292
297	0.0270326
298	0.0270359
299	0.0270391
300	0.0270424
301	0.0270457
302	0.027049
303	0.0270522
304	0.0270555
305	0.0270588
306	0.027062
307	0.0270652
308	0.0270685
309	0.0270716
310	0.0270748
311	0.0270782
312	0.0270814
313	0.0270845
314	0.0270877
315	0.0270909
316	0.0270941
317	0.0270974
318	0.0271006
319	0.0271036
320	0.0271066
321	0.0271097
322	0.0271127
323	0.0271159
324	0.0271191
325	0.0271223
326	0.0271255
327	0.0271287
328	0.0271319
329	0.027135
330	0.027138
331	0.0271412
332	0.0271443
333	0.0271474
334	0.0271505
335	0.0271536
336	0.0271567
337	0.0271598
338	0.0271628
339	0.0271658
340	0.0271689
341	0.0271719
342	0.0271748
343	0.0271776
344	0.0271806
345	0.0271837
346	0.0271867
347	0.0271897
348	0.0271927
349	0.0271957
350	0.0271987
351	0.0272016
352	0.0272046
353	0.0272075
354	0.0272104
355	0.0272132
356	0.0272161
357	0.0272189
358	0.0272217
359	0.0272244
360	0.0272272
361	0.0272299
362	0.0272326
363	0.0272355
364	0.0272384
365	0.0272412
366	0.027244
367	0.0272468
368	0.0272496
369	0.0272525
370	0.0272552
371	0.0272578
372	0.0272606
373	0.0272634
374	0.0272661
375	0.0272689
376	0.0272716
377	0.0272743
378	0.0272771
379	0.0272796
380	0.0272824
381	0.027285
382	0.0272877
383	0.0272905
384	0.0272931
385	0.0272957
386	0.0272982
387	0.0273008
388	0.0273033
389	0.0273059
390	0.0273084
391	0.0273109
392	0.0273135
393	0.0273159
394	0.0273184
395	0.027321
396	0.0273234
397	0.0273259
398	0.0273283
399	0.0273308
400	0.0273332
401	0.0273357
402	0.0273381
403	0.0273406
404	0.027343
405	0.0273455
406	0.0273479
407	0.0273504
408	0.0273528
409	0.0273553
410	0.0273577
411	0.02736
412	0.0273625
413	0.0273648
414	0.0273672
415	0.0273696
416	0.0273719
417	0.0273743
418	0.0273767
419	0.027379
420	0.0273815
421	0.0273839
422	0.0273863
423	0.0273886
424	0.027391
425	0.0273933
426	0.0273957
427	0.0273981
428	0.0274004
429	0.0274026
430	0.027405
431	0.0274073
432	0.0274096
433	0.0274118
434	0.0274141
435	0.0274164
436	0.0274186
437	0.0274209
438	0.0274231
439	0.0274252
440	0.0274274
441	0.0274296
442	0.0274318
443	0.0274341
444	0.0274363
