# Average strain over simulation: 0.0203324
# Frame	Strain
0	0
1	0.000316305
2	0.0011465
3	0.00202788
4	0.00368988
5	0.00578883
6	0.00810026
7	0.0103482
8	0.0125125
9	0.0152458
10	0.0179597
11	0.020354
12	0.0229846
13	0.0254914
14	0.0278896
15	0.0301942
16	0.0323312
17	0.0342995
18	0.0362002
19	0.037901
20	0.0393944
21	0.040813
22	0.0421265
23	0.0432387
24	0.0442694
25	0.0451744
26	0.0459501
27	0.0466248
28	0.0471864
29	0.047663
30	0.0480442
31	0.0483333
32	0.0485351
33	0.0486725
34	0.0487416
35	0.048934
36	0.0492376
37	0.0495047
38	0.0497218
39	0.0498899
40	0.0500065
41	0.0500805
42	0.0501131
43	0.0501057
44	0.0500604
45	0.0499822
46	0.0498729
47	0.0497326
48	0.0495697
49	0.0493745
50	0.0491643
51	0.048927
52	0.0486698
53	0.0483944
54	0.0481023
55	0.0477907
56	0.0474737
57	0.0471445
58	0.0467995
59	0.0464781
60	0.0461143
61	0.0457574
62	0.0453729
63	0.0449921
64	0.0446056
65	0.0442196
66	0.0438239
67	0.0434246
68	0.0430332
69	0.0426226
70	0.0422156
71	0.0418125
72	0.0414026
73	0.040992
74	0.0405922
75	0.0401755
76	0.0397702
77	0.0393598
78	0.0390024
79	0.0385697
80	0.0381679
81	0.0377786
82	0.0373909
83	0.0369884
84	0.0365988
85	0.0362003
86	0.0358041
87	0.0354157
88	0.0350351
89	0.0346517
90	0.0342762
91	0.0338981
92	0.0335124
93	0.0331297
94	0.0327552
95	0.0323889
96	0.0320256
97	0.0316653
98	0.0313032
99	0.0309443
100	0.0305838
101	0.0302411
102	0.0298967
103	0.0295508
104	0.0292036
105	0.0288643
106	0.0285376
107	0.0282231
108	0.0278935
109	0.0275629
110	0.02724
111	0.0269205
112	0.0265999
113	0.026287
114	0.02599
115	0.0256961
116	0.0253927
117	0.0250925
118	0.0247955
119	0.0245058
120	0.0242231
121	0.0239355
122	0.0236666
123	0.0234005
124	0.0231334
125	0.022854
126	0.0225854
127	0.0223157
128	0.0220565
129	0.0218001
130	0.0215358
131	0.021285
132	0.0210336
133	0.0207884
134	0.0205458
135	0.0202993
136	0.0200522
137	0.0198113
138	0.0195699
139	0.0193377
140	0.0191018
141	0.0188749
142	0.0186474
143	0.0184196
144	0.0182005
145	0.0179868
146	0.0177786
147	0.0175638
148	0.0173516
149	0.0171447
150	0.0169374
151	0.0167324
152	0.0165272
153	0.016327
154	0.0161319
155	0.0159338
156	0.015738
157	0.0155471
158	0.0153585
159	0.0151721
160	0.014988
161	0.0148084
162	0.0146359
163	0.014458
164	0.0142823
165	0.0141086
166	0.0139487
167	0.0137882
168	0.0136731
169	0.0135112
170	0.0133556
171	0.013193
172	0.0130388
173	0.0128864
174	0.0127315
175	0.0125805
176	0.0124229
177	0.0123508
178	0.0121176
179	0.0119718
180	0.0118296
181	0.0116852
182	0.0115425
183	0.0114053
184	0.0112717
185	0.0111321
186	0.0109942
187	0.0108598
188	0.0105655
189	0.010594
190	0.0104662
191	0.0103399
192	0.0102168
193	0.01009
194	0.00996653
195	0.00984284
196	0.00972231
197	0.00960162
198	0.0094856
199	0.0093678
200	0.00925301
201	0.00913652
202	0.00902452
203	0.00891238
204	0.0088031
205	0.00869367
206	0.00858994
207	0.00848457
208	0.00837905
209	0.00827904
210	0.00817882
211	0.008088
212	0.0085342
213	0.00789732
214	0.00780035
215	0.00770326
216	0.00760994
217	0.00751519
218	0.00742538
219	0.00733415
220	0.00724281
221	0.0071538
222	0.00706587
223	0.00697784
224	0.00689323
225	0.00680732
226	0.00672476
227	0.00664432
228	0.00656149
229	0.00647859
230	0.00639998
231	0.00632232
232	0.00624453
233	0.00667601
234	0.00609593
235	0.00602193
236	0.00595084
237	0.00587959
238	0.00581016
239	0.00574058
240	0.00567087
241	0.00560199
242	0.00553395
243	0.00546672
244	0.00540398
245	0.00533651
246	0.00527077
247	0.00520584
248	0.00514345
249	0.00508094
250	0.00502004
251	0.00495902
252	0.00489958
253	0.00484577
254	0.00479012
255	0.00473268
256	0.00467434
257	0.00461672
258	0.00456135
259	0.00450435
260	0.00445032
261	0.00439545
262	0.00434124
263	0.00428771
264	0.00423555
265	0.00418402
266	0.00413311
267	0.00408144
268	0.00403177
269	0.00398203
270	0.00393224
271	0.00388438
272	0.00383776
273	0.00379234
274	0.00374554
275	0.00369995
276	0.00365429
277	0.00361042
278	0.00356525
279	0.00352065
280	0.0034766
281	0.0034331
282	0.00338957
283	0.00334715
284	0.00330752
285	0.00326668
286	0.0032258
287	0.00318543
288	0.00314556
289	0.00310619
290	0.00306731
291	0.0030284
292	0.00299049
293	0.00295456
294	0.00291757
295	0.00288104
296	0.00284691
297	0.00281366
298	0.00277891
299	0.00274458
300	0.00271067
301	0.00267764
