# Average strain over simulation: 0.0777272
# Frame	Strain
0	0
1	0.00105657
2	0.00404304
3	0.00835594
4	0.0138101
5	0.0200898
6	0.0265531
7	0.0323071
8	0.0370302
9	0.0428386
10	0.048135
11	0.0528854
12	0.0570909
13	0.0606517
14	0.0637622
15	0.0665367
16	0.0689059
17	0.0709082
18	0.0726099
19	0.0741034
20	0.0753531
21	0.0764204
22	0.0773354
23	0.0781064
24	0.0787639
25	0.0793045
26	0.0797562
27	0.0801237
28	0.0804477
29	0.0807252
30	0.0809512
31	0.0811412
32	0.0813007
33	0.0814311
34	0.0815434
35	0.0816385
36	0.0817193
37	0.0817867
38	0.0818426
39	0.0818887
40	0.081928
41	0.0819615
42	0.0819896
43	0.0820135
44	0.0820321
45	0.0820483
46	0.082062
47	0.0820737
48	0.0820836
49	0.0820921
50	0.0820972
51	0.0821027
52	0.082108
53	0.0821124
54	0.0821161
55	0.0821192
56	0.0821218
57	0.0821241
58	0.0821259
59	0.0821275
60	0.0821288
61	0.0821299
62	0.0821309
63	0.0821317
64	0.0821324
65	0.082133
66	0.0821335
67	0.0821339
68	0.0821343
69	0.0821346
70	0.0821349
71	0.0821351
72	0.0821353
73	0.0821355
74	0.0821357
75	0.0821358
76	0.082136
77	0.0821361
78	0.0821362
79	0.0821363
80	0.0821364
81	0.0821365
82	0.0821366
83	0.0821366
84	0.0821367
85	0.0821368
86	0.0821369
87	0.0821369
88	0.082137
89	0.082137
90	0.0821371
91	0.0821372
92	0.0821372
93	0.0821373
94	0.0821374
95	0.0821374
96	0.0821375
97	0.0821375
98	0.0821376
99	0.0821376
100	0.0821377
101	0.0821377
102	0.0821378
103	0.0821379
104	0.0821379
105	0.082138
106	0.082138
107	0.0821381
108	0.0821381
109	0.0821382
110	0.0821382
111	0.0821383
112	0.0821383
113	0.0821384
114	0.0821384
115	0.0821385
116	0.0821385
117	0.0821386
118	0.0821386
119	0.0821387
120	0.0821387
121	0.0821388
122	0.0821389
123	0.0821389
124	0.0811157
125	0.082139
126	0.0821391
127	0.0821391
128	0.0821392
129	0.0821392
130	0.0821393
131	0.0821393
132	0.0821393
133	0.0821394
134	0.0821394
135	0.0821395
136	0.0821395
137	0.0821396
138	0.0821396
139	0.0821397
140	0.0821397
141	0.0821398
142	0.0821398
143	0.0821399
144	0.0821399
145	0.08214
146	0.08214
147	0.0821401
148	0.0821401
149	0.0821402
150	0.0821402
151	0.0821403
152	0.0821403
153	0.0821404
154	0.0821404
155	0.0821404
156	0.0821405
157	0.0821405
158	0.0821406
159	0.0821406
160	0.0821407
161	0.0821407
162	0.0821408
163	0.0821408
164	0.0821408
165	0.0821409
166	0.0821409
167	0.082141
168	0.082141
169	0.082141
170	0.0821411
171	0.0821411
172	0.0821412
173	0.0821412
174	0.0821413
175	0.0821413
176	0.0821413
177	0.0821414
178	0.0821414
179	0.0821415
180	0.0821415
181	0.0821415
182	0.0821416
183	0.0821416
184	0.0821417
185	0.0821417
186	0.0821417
187	0.0821418
188	0.0821418
189	0.0821418
190	0.0821419
191	0.0821419
192	0.082142
193	0.082142
194	0.082142
195	0.0821421
