# Average strain over simulation: 0.0153128
# Frame	Strain
0	0
1	0.00020525
2	0.000792249
3	0.00166399
4	0.00279607
5	0.004112
6	0.00559432
7	0.00700853
8	0.00830031
9	0.00996989
10	0.0116991
11	0.0134424
12	0.0150979
13	0.0166728
14	0.0181903
15	0.0197412
16	0.0213261
17	0.0228934
18	0.0243976
19	0.0258011
20	0.0271384
21	0.0284385
22	0.0296668
23	0.0307828
24	0.0318837
25	0.0328655
26	0.033817
27	0.0347019
28	0.0355315
29	0.0362949
30	0.0369852
31	0.037624
32	0.0382139
33	0.0387493
34	0.0392271
35	0.0396564
36	0.040035
37	0.0403743
38	0.0406748
39	0.0409371
40	0.0411428
41	0.0413184
42	0.0414612
43	0.0415801
44	0.0416685
45	0.0417298
46	0.0417613
47	0.0417663
48	0.0417459
49	0.0417013
50	0.0416338
51	0.041547
52	0.0414576
53	0.041388
54	0.041323
55	0.0412389
56	0.04114
57	0.0410234
58	0.0408921
59	0.0407471
60	0.0405911
61	0.0404211
62	0.0402397
63	0.0400475
64	0.0398735
65	0.0397166
66	0.03955
67	0.0393765
68	0.0391923
69	0.0390025
70	0.0388028
71	0.0385958
72	0.0383828
73	0.0381633
74	0.0379381
75	0.0377076
76	0.0374721
77	0.0372379
78	0.0370193
79	0.0368036
80	0.0365785
81	0.0363522
82	0.0361306
83	0.0359031
84	0.0356756
85	0.0354513
86	0.0352189
87	0.0349874
88	0.0348272
89	0.0346103
90	0.0343595
91	0.0341162
92	0.0338687
93	0.0336171
94	0.0333646
95	0.0331083
96	0.0328545
97	0.0326003
98	0.0323428
99	0.0317992
100	0.0318596
101	0.0315975
102	0.0313434
103	0.0310896
104	0.0308394
105	0.0305868
106	0.0303378
107	0.0300866
108	0.0298363
109	0.0295929
110	0.0293445
111	0.0291002
112	0.028857
113	0.0286267
114	0.0283859
115	0.0281435
116	0.0279025
117	0.0276657
118	0.0274276
119	0.0271937
120	0.0269726
121	0.0267472
122	0.0265151
123	0.0262847
124	0.0260558
125	0.0258287
126	0.0256032
127	0.0253874
128	0.0251785
129	0.024971
130	0.0247574
131	0.0245428
132	0.0243402
133	0.0241289
134	0.0239295
135	0.0237291
136	0.0235353
137	0.0233381
138	0.02314
139	0.0229364
140	0.0227345
141	0.0225343
142	0.0223406
143	0.0221485
144	0.0219535
145	0.0217625
146	0.0215732
147	0.0213855
148	0.0211995
149	0.0210151
150	0.0208324
151	0.0206491
152	0.0204761
153	0.0203003
154	0.020126
155	0.0199575
156	0.0197842
157	0.0196104
158	0.0194422
159	0.0192755
160	0.0191103
161	0.0185902
162	0.0187802
163	0.0186174
164	0.0184561
165	0.0182981
166	0.0181377
167	0.0179806
168	0.0178249
169	0.0176724
170	0.0175195
171	0.0173751
172	0.0172356
173	0.0170901
174	0.0169405
175	0.0167957
176	0.0166522
177	0.0165134
178	0.0163758
179	0.0162359
180	0.0160973
181	0.0159615
182	0.0158285
183	0.0156901
184	0.0155528
185	0.0150804
186	0.0152883
187	0.0151546
188	0.0150221
189	0.0148969
190	0.0147712
191	0.0146435
192	0.0145214
193	0.0144004
194	0.0142758
195	0.0141509
196	0.0140299
197	0.0139071
198	0.0137867
199	0.0136674
200	0.0135476
201	0.0134289
202	0.0133125
203	0.0132
204	0.0130869
205	0.0129721
206	0.0128596
207	0.0127467
